"Блок","№","Питання","Що валідуємо / навіщо","Відповідь (нотатки на зустрічі)"
"A. Контекст і роль","1","Скільки платформ на місяць виробляєте/інтегруєте і які типи (FPV, крило, VTOL, дальні strike, ISR)?","Масштаб і сегмент клієнта",""
"A. Контекст і роль","2","Навігацію робите in-house чи інтегруєте чужі модулі?","Роль: клієнт vs партнер-інтегратор",""
"A. Контекст і роль","3","Хто кінцевий замовник (підрозділи ЗСУ, ГУР, СБС, експорт) і хто підписує рішення про закупівлю?","ЛПР та канал продажів",""
"B. Реальний біль (GPS-denied)","4","Останній випадок, коли через глушіння/спуфінг місія провалилась — що саме сталося?","Реальний біль, а не гіпотеза",""
"B. Реальний біль (GPS-denied)","5","Який % втрат/невиконаних місій повʼязуєте саме з навігацією в РЕБ?","Кількісна вага проблеми",""
"B. Реальний біль (GPS-denied)","6","Що оператори роблять зараз, коли GPS лягає?","Поточні обхідні шляхи",""
"B. Реальний біль (GPS-denied)","7","Скільки це коштує в грошах? Це топ-3 проблема чи 5–10-та?","Пріоритет болю",""
"C. Поточні рішення","8","Які GPS-denied рішення вже тестували/ставили (OSCAR, TFL-1, Sine, власне)?","Конкурентне поле з їх слів",""
"C. Поточні рішення","9","Що лишилось у серії, а що відкинули — і ЧОМУ відкинули?","Критерії відмови = наші вимоги",""
"C. Поточні рішення","10","Скільки коштувала інтеграція кожного (гроші, тижні інженерів)? Найбільший головний біль?","Вартість інтеграції",""
"C. Поточні рішення","11","Чого бракувало, що доробляли самі?","Прогалини = наша можливість",""
"D. Тех. вимоги SWaP-C","12","Прийнятні габарити/вага/енергоспоживання? Де межа, за якою не влазить?","SWaP-обмеження",""
"D. Тех. вимоги SWaP-C","13","Яка точність реально потрібна — 30 м досить чи для strike <5 м?","Бенчмарк точності (Flyby 5–30 м)",""
"D. Тех. вимоги SWaP-C","14","Які інтерфейси/протоколи мусить підтримувати (MAVLink, CAN, UART, PX4/Ardupilot, власний)?","Сумісність інтеграції",""
"D. Тех. вимоги SWaP-C","15","Потрібна робота вдень і вночі? Тепловізор/ІЧ обовʼязково?","Режими роботи",""
"D. Тех. вимоги SWaP-C","16","Частота оновлення координат і поведінка при втраті картинки (хмари, дим)?","Надійність",""
