"Тип","Регіон","Компанія","Рік засн.","Продукт","Механізм","Точність","Бізнес-модель / ціни","Інвестиції (сума, інвестори)","Трекшен","Proof-URL"
"ПРЯМИЙ","Україна","Twist Robotics","2021","OSCAR (Optical System of Coordinates with…","OSCAR is a visual navigation module: an onboard camera captures live terrain imagery, an…","Claimed error of up to…","Not publicly disclosed. Business model…","Not publicly disclosed (n/d) | Інв.: Not publicly disclosed / not found","Twist Robotics platforms equipped with OSCAR have logged 500,000+ km of…","https://www.pravda.com.ua/eng/news/2026/01/28/8018266/"
"ПРЯМИЙ","Україна","Fire Point","2022","Fire Point in-house GPS-independent…","Fire Point is primarily a long-range strike drone/missile manufacturer (FP-1, FP-2, FP-5…","n/d (not publicly…","Not a sold product/module - capability is…","No disclosed institutional funding rounds;… | Інв.: None publicly named/institutional; founder…","~200 strike drones produced per day as of March 2026 (up from ~30-100/day in…","https://dronexl.co/2026/03/09/firepoint-ukraine-200-drones-day-production/"
"ПРЯМИЙ","Україна","Blue Arrow","2024 (operating as…","Blue Arrow autonomy/navigation stack (built…","Blue Arrow's navigation stack uses two layered algorithms: (1) Visual-Inertial Odometry (VIO)…","~10 meters via…","Not publicly disclosed. Described as a…","Pre-seed round (amount undisclosed) plus a German… | Інв.: Big Defence (lead, Finland), unnamed additional…","Secured European military orders; preparing for frontline tests with an elite…","https://techukraine.org/2025/05/21/blue-arrow-ukrainian-american-startup-seeks-3m-to-unleash-autonomous-drone-swarms/"
"ПРЯМИЙ","Велика Британія","NILEQ","2023 (per Tracxn);…","NILEQ ""Resilient Absolute Positioning""…","NILEQ uses patent-pending neuromorphic (""event-based"") camera sensors that, instead of…","n/d — no specific…","n/d — no public pricing/business model;…","No external funding rounds found (n/d) — per Tracxn,… | Інв.: None identified (parent/incubator: MBDA, itself…","Pre-commercial stage. Key milestone is the Nov 2024 MoU with Advanced…","https://www.advancednavigation.com/news/mbda-collaborating-resilient-navigation-technology/"
"ПРЯМИЙ","Велика Британія","Plextek","1989 (original…","Alt-PNT / Visual Scene Matching (VSM) — part…","Plextek's Visual Scene Matching (VSM) algorithm compares live imagery from an onboard camera…","n/d (no specific…","No public pricing; engineering consultancy /…","No external/VC funding identified (n/d) — appears… | Інв.: None identified (privately owned, no…","Multiple UK government/MOD contract wins: DASA contracts for counter-UAS and…","https://www.plextek.com/exceptional-engineering/sensor-systems/alternative-navigation/"
"ПРЯМИЙ","Європа","Daedalean","2016","Visual Positioning System (VPS), comprising…","Yes — matches live camera imagery to a pre-loaded reference. Daedalean's VGPS requires a…","Stated as 4% of…","No public unit pricing disclosed. Business…","Approx. $69.8M-$72.5M total raised pre-acquisition… | Інв.: Honeywell / Honeywell Ventures, Carthona…","150+ employees including 13 PhDs (per company materials); has a Design…","https://www.daedalean.ai/tpost/zkhc162ju1-visual-positioning-system-vps-whats-unde"
"ПРЯМИЙ","Європа","Spleenlab","2016 (incorporated…","VISIONAIRY® Suite — specifically the…","Spleenlab's GPS-denied navigation combines two fused modules. (1) Visual-Inertial Odometry…","No single public…","Not publicly disclosed. Business model is…","Not precisely disclosed in public sources (described… | Інв.: bm-t beteiligungsmanagement thüringen, APEX…","Customers/partners cited on Spleenlab's site and press: Quantum Systems (now…","https://www.spleenlab.ai/product-map-based-relocalization"
"ПРЯМИЙ","Європа","Vydar","2024 (per…","SignalVoid navigation module","Vydar's SignalVoid is a compact, hardware-agnostic visual navigation module. It uses an…","~20 m demonstrated over…","Not disclosed publicly (B2B/defense hardware…","~$1.5M (reported, from US investors) | Інв.: Tenzing Alpha (US-based investor, lead/named…","Early-stage: incubated at YES!Delft (TU Delft campus), participated in ESA…","https://brainporteindhoven.com/en/in-depth/vydar-wants-to-make-gps-denied-navigation-a-european-stronghold"
"ПРЯМИЙ","Європа","Saab","1937 (Saab AB as a…","Ternav (terrain navigation system)…","Saab's GPS-denied navigation solution (""Ternav"" terrain navigation system combined with…","~3 m SE90 (absolute…","Not publicly disclosed; sold as part…","n/d (not a funded startup; Saab AB market cap… | Інв.: N/A — publicly traded company (ticker SAAB-B,…","Multiple successful flight test campaigns (2018 pod-camera trials; 2020-2021…","https://www.gpsworld.com/maxar-3d-data-integrated-into-swedish-fighter-jet-for-gps-denied-navigation/"
"ПРЯМИЙ","Пн. Америка","Vantor","n/d for ""Vantor""…","Raptor (software suite: Raptor Guide, Raptor…","Raptor is a vision-based software suite that uses a drone's onboard/native camera and matches…","Raptor Guide: <10 m RMSE…","tsiny nepublichni (model: enterprise/defense…","n/d (not a VC-funded startup; Vantor is a… | Інв.: Advent International (private equity owner via…","Raptor launched Feb 2025 (as a Maxar Intelligence product); by Dec 2025 Vantor…","https://vantor.com/blog/five-facts-about-vantors-raptor-software-suite/"
