"Блок","№","Питання","Варіанти / тип відповіді","Що валідуємо / навіщо","Відповідь (нотатки на зустрічі)"
"0. Контекст","1","Які платформи випускаєте і в яких обсягах/міс? (FPV, крило, VTOL, strike, ISR)","Відкрите","Масштаб і сегмент виробника",""
"0. Контекст","2","Навігацію робите in-house чи інтегруєте чужі модулі?","in-house / чужі модулі / комбіновано","Роль: клієнт vs інтегратор",""
"0. Контекст","3","Яке GPS-denied рішення стоїть або тестувалось?","OSCAR / TFL-1 / Sine / Saab / Theseus-OKSI / власне / немає","Конкурентне поле з їх слів",""
"0. Контекст","4","Що лишилось у серії і ЧОМУ відкинули решту?","Відкрите","Критерії відмови = наші вимоги",""
"1. Точність по місіях","5","Strike — яка точність (CEP) реально потрібна?","<5 м / 5–10 м / 10–30 м / не наша місія","Бенчмарк точності (Flyby 5–30 м, Saab ~3 м)",""
"1. Точність по місіях","6","ISR / розвідка — яка точність потрібна?","5–10 м / 10–30 м / >30 м достатньо / не наша місія","Вимога точності по місії",""
"1. Точність по місіях","7","Ретрансляція — яка точність потрібна?","10–30 м / >30 м достатньо / не наша місія","Вимога точності по місії",""
"1. Точність по місіях","8","Рій — яка точність потрібна?","<5 м / 5–10 м / 10–30 м / не наша місія","Вимога точності по місії",""
"1. Точність по місіях","9","Де 30 м достатньо, а де deal-breaker і треба <5 м?","Відкрите","Межа вилки Flyby 5–30 м",""
"1. Точність по місіях","10","Точність важлива на всій траєкторії чи тільки на терміналі?","вся траєкторія / тільки термінал","Профіль вимоги до точності",""
"2. SWaP","11","Гранично допустимий форм-фактор модуля (Д×Ш×В, мм)?","Число / текст","Габаритне обмеження",""
"2. SWaP","12","Бюджет ваги під навігацію (г)? Де межа?","Число","Вагове обмеження",""
"2. SWaP","13","Бюджет живлення (Вт) і напруга шини (В)?","Число","Енергоспоживання",""
"2. SWaP","14","Що критичніше в енергобалансі?","пікове / середнє / обидва","Профіль споживання",""
"2. SWaP","15","Обмеження по термо / вібро / кріпленню / розміщенню камери?","Відкрите","Механічна інтеграція",""
"2. SWaP","16","Що з SWaP найжорсткіше обмежує вибір модуля сьогодні?","Відкрите","Головне фізичне обмеження",""
"3. Протоколи та інтеграція","17","Автопілот / стек?","PX4 / ArduPilot / власний","Сумісність стека",""
"3. Протоколи та інтеграція","18","Які протоколи обміну має підтримувати модуль?","MAVLink / CAN / UART / Ethernet / власний","Інтеграція в комплекс",""
"3. Протоколи та інтеграція","19","У якому вигляді хочете отримувати вихід Flyby?","позиція (lat/lon/alt) / поправка до EKF / velocity","Формат виходу",""
"3. Протоколи та інтеграція","20","Потрібна частота видачі координат (Гц)?","Число","Вимога до частоти",""
"3. Протоколи та інтеграція","21","Допустима затримка (latency) кадр → координата (мс)?","Число","Вимога до latency",""
"3. Протоколи та інтеграція","22","Хто відповідає за fusion з ІНС / висотоміром?","ми / Flyby / спільно","Розподіл відповідальності",""
"3. Протоколи та інтеграція","23","Бажаний формат інтеграції?","OEM-модуль / ліцензія ПЗ / co-dev","Бізнес-модель співпраці",""
"3. Протоколи та інтеграція","24","Що зʼїдає найбільше часу / грошей при інтеграції нового модуля?","Відкрите","Головний біль інтеграції",""
"3. Протоколи та інтеграція","25","Що потрібно для швидкого старту інтеграції?","SDK / API-доки / реф-борд / інж. підтримка","Вимоги до enablement",""
"4. День / ніч","26","Коли має працювати навігація?","тільки день / день+ніч / 24-7","Режими роботи",""
"4. День / ніч","27","Нічний режим?","тепловізор-ІЧ обовʼязково / NIR-low-light достатньо / ніч не потрібна","Сенсорні вимоги",""
